slang,normal
n,dan
ad,ada
adlah,adalah
agr,agar
ahir,akhir
ahir,akhir
aja,saja
ajah,saja
ajj,aja
ak,saya
akku,saya
aksea,akses
aktifitas,aktivitas
aktip,aktif
aku,saya
aku,saya
akuwh,saya
akyu,saya
anak2,anak anak
analisa,analisis
antar-instansi,antarinstansi
antar-instansi,antarinstansi
antri,antre 
antri,antre 
anx,anak
apakh,apakah
apalikasi,aplikasi
apapn,apapun
apkh,apakah
apotik,apotek
apotik,apotek
aq,saya
atlit,atlet
atlit,atlet
atmosfir,atmosfer
atmosfir,atmosfer
audah,sudah
azas,asas
azas,asas
bagi2,bagi bagi
bangedh,banget
bangeet,banget
baud,baut
baud,baut
bberapa,beberapa
bbrp,beberapa
beda2,beda beda
beguna,berguna
bener,benar
ber'arti,berarti
beress,beres
berfikir,berpikir 
berfikir,berpikir 
beud,banget
beut,banget
bg,abang
bgaimana,bagaimana
bgmana,bagaimana
bgt,banget
bgt,sangat
bgtu,begitu
bis,bus
bis,bus
bisaaa,bisa
bkn,bukan
blm,belum
blm,belum
bln,bulan
bmana,bagaimana
bndung,bandung
bngt,sangat
bokebb,porno
bokingnya,bookingnya
brarti,berarti
brbeda,berbeda
brkt,berangkat
brngkat,berangkat
brp,berapa
brp,berapa
bs,bisa
bs,bisa
bs,bisa
bsa,bisa
bsm,bersama
bts,batas
bwh,bawah
byk,banyak
byr,bayar
c8,chat
cabe,cabai
cabe,cabai
chek,check
cinderamata,cenderamata
cinderamata,cenderamata
ckeb,cakep
ckep,cakep
ckepp,cakep
coz,karena
cr,cari
cuekin,cuxin
curi2,curi-curi
cw,cewek
cwekz,cewek
cwok,cowok
cwokz,cowok
cz,karena
d,di  
danayanya,dana
dann,dan
daptar,daftar
daptar,daftar
dbuka,di buka
depo,depot
depo,depot
detil,detail
detil,detail
dg,dengan
dg,dengan
dg,dengan
dg,dengan
dg,dengan
dg,dengan
diaa,dia
diagnosa,diagnosis
diagnosa,diagnosis 
differensial,diferensial
differensial,diferensial
difinisi,definisi
difinisi,definisi
difinisi,definisi
difinisi,definisi
diknfirmasike, dikonfirmasi ke
dipersilahkan,dipersilakan
dipersilahkan,dipersilakan
dipersilahkan,dipersilakan
dipersilahkan,dipersilakan
dipindah,dipindahkan
dipindah,dipindahkan
diprhatikan,diperhatikan
disel,diesel
disel,disel
disyahkan,disahkan
disyahkan,disahkan
dlm,dalam
dlm,dalam
dmn,dimana
dn,dan
dobel,double
dollar,dolar
dollar,dolar
donk,dong
dpet,dapat
dpt,dapat
dpt,dapat
dr,dari   
dri,dari   
drtadi,dari tadi
dy,dia
eksport,ekspor
eksport,ekspor
ekstrim,ekstrem
ekstrim,ekstrem
ekwivalen,ekuivalen
ekwivalen,ekuivalen
engagememt,engagement
enggak,tidak
erobik,aerobic
erobik,aerobic
esei,esai
filem,film
filem,film
frekwensi,frekuensi
frekwensi,frekuensi
g,tidak
ga,tidak
ga,tidak
gada,tidak ada
gak,tidak
gak,tidak
gapapa,tidak apa apa
gbs,tidak bisa
ghiey,lagi
ghiy,lagi
gi,lagi
gi,sedang
gimana,bagaimana
gitu,begitu
gk,tidak
gk,tidak
gk,tidak
gmana,bagaimana
gmn,bagaimana
gt,begitu
gue,saya
guna,berguna
gw,saya
haii,hai
hakekat,hakikat
hakekat,hakikat
hapal,hafal
hapal,hafal
hembus,embus
hembus,embus
hi,hai
hii,hai
himbau,imbau
hipotesa,hipotesis
hirarki,hierarki
hisap,isap
hozz,rumah
hr,hari
hrg,harga
hrga,harga
hrs,harus
hrus,harus
htl,hotel
hufft,mengeluh
humz,rumah
hutang,utang
ihlas,ikhlas
ijasah,ijazah
ijin,izin
ilmiawan,ilmuwan
imoeth,imut
imoetz,imut
import,impor
inich,ini
iniyh,ini
insyaf,insaf
intl,internasional
isteri,istri
itung,hitung
iy,ya
ja,aja
jadual,jadwal
jaman,zaman
jawaaab,jawab
jawan,jawab
jd,jadi
jenasah,jenazah
jendral,jenderal
jgn,jangan
kaedah,kaidah
kakagg,kakak
kalo,kalau
kaluw,karena
kammooh,kamu
kamuh,kamu
kamuwh,kamu
kamyu,kamu
ksi,kasih
kasi,kasih
ksh,kasih
ksih,kasih
kangedh,kangen
kangeunnd,kangen
karir,karier
karna,karena
kayak,seperti
kebnyakan,kebanyakan
kecee,kece
kesalahan2,kesalahan
ketjup,kecup
khidupan,kehidupan
khutbah,khotbah
khuzuz,khusus
kjlsn,kejelasan
klianz,kalian
klo,kalau
klo,kalau
klu,kalau
klw,karena
kmarin,kemarin
kmr,kamar
knp,kenapa
komen2,komentar
komplek,kompleks
kondite,konduite
konkrit,konkret
konperensi,konferesi
konsepsionil,konsepsional
koordinir,koordinasi
krang,kurang
krent,keren
krenz,keren
krm,kirim
krn,karena
kta,kata
ktiga,ketiga
ktmu,ketemu
ktmu,ketemu
ktnya,katanya
kwalitas,kualitas
kwantitas,kuantitas
kwitansi,kuitansi
lbh,lebih
lbih,lebih
leh,boleh
lg,sedang
lgi,lagi
lgi,sedang
lho,loh
lo,kamu
lobang,lubang
loch,loh
lochkz,loh
lochx,loh
lom,belum
louph,cinta
loupz,cinta
love,cinta
low,karena
lsg,langsung
luchuw,lucu
luff,cinta
lum,belum
luph,cinta
lupz,lupa
lupz,ya
luthu,lucu
lw,kamu
maav,maaf
maap,maaf
map,maaf
maen,main
makasih,terima kasih
mamz,makan
managemen,manajemen
manager,manajer
manies,manis
maniezt,manis
masi,masih
masi,masih
melakukab,melakukan
melkukan,melakukan
melola,mengelola
memg,memang
mmg,memang
memproklamirkan,memproklamasikan
mendifinisikan,mendefinisikan
mendokkrak,mendongkrak
mendptkan,mendapatkan
mengenyampingkan,mengesampingkan
mengeritik,mengkritik
mengobah,mengubah
mensukseskan,menyukseskan
mensyen,mention
menterapkan,menerapkan
menterjemahkan,menerjemahkan
menyolok,mencolok
merubah,mengubah
metoda,metode
mhn,mohon
min,admin
mlelahkan,melelahkan
mmsan,memesan
mncari,mencari
mncul,muncul
mngembalikan,mengembalikan
mnghsilkan,menghasilkan
